date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,6.478689019392785,6.511168909607521,6.446816245080543,6.496294975280762,6.496294975280762,493729600,0.0,0.0
2010-01-05,6.514205149731415,6.544256577514059,6.4732252299912405,6.507526874542236,6.507526874542236,601904800,0.0,0.0
2010-01-06,6.507525397636489,6.5333274133635815,6.397336313728823,6.404014587402344,6.404014587402344,552160000,0.0,0.0
2010-01-07,6.427690585198655,6.435279531719742,6.345731583907686,6.39217472076416,6.39217472076416,477131200,0.0,0.0
2010-01-08,6.383677740381386,6.435281784219016,6.346038173598838,6.434674263000488,6.434674263000488,447610800,0.0,0.0
2010-01-11,6.4595647882183735,6.465635946786966,6.327520331625767,6.377910137176514,6.377910137176514,462229600,0.0,0.0
2010-01-12,6.349982114835248,6.3675888791708966,6.265899004174746,6.305360317230225,6.305360317230225,594459600,0.0,0.0
2010-01-13,6.3099146720146635,6.402800559499998,6.195475766703405,6.394300937652588,6.394300937652588,605892000,0.0,0.0
2010-01-14,6.377909316237006,6.388533437080263,6.344821911581344,6.357267379760742,6.357267379760742,432894000,0.0,0.0
2010-01-15,6.402800512785195,6.423138893485967,6.249203852364694,6.251025199890137,6.251025199890137,594067600,0.0,0.0
2010-01-19,6.323878648581187,6.532114557399322,6.29079204493991,6.527561187744141,6.527561187744141,730007600,0.0,0.0
2010-01-20,6.523613017290997,6.5430403168273426,6.3593922528218645,6.427084445953369,6.427084445953369,612152800,0.0,0.0
2010-01-21,6.437709428848172,6.4750458381974285,6.289879554672088,6.315984725952148,6.315984725952148,608154400,0.0,0.0
2010-01-22,6.276827072974401,6.2986824322066015,5.984811249636035,6.002720355987549,6.002720355987549,881767600,0.0,0.0
2010-01-25,6.147210528371959,6.213687683446899,6.076786715229884,6.164209365844727,6.164209365844727,1065699600,0.0,0.0
2010-01-26,6.25163297995023,6.487188682905663,6.149336381441475,6.25132942199707,6.25132942199707,1867110000,0.0,0.0
2010-01-27,6.278951321927002,6.392175582292473,6.056751801252155,6.310217380523682,6.310217380523682,1722568400,0.0,0.0
2010-01-28,6.220670508746987,6.237972499350547,6.0315579803578325,6.049467086791992,6.049467086791992,1173502400,0.0,0.0
2010-01-29,6.103803081270714,6.137800756871593,5.7750571574457865,5.829999923706055,5.829999923706055,1245952400,0.0,0.0
2010-02-01,5.839410359478896,5.949599460210438,5.806930470403432,5.911048412322998,5.911048412322998,749876400,0.0,0.0
2010-02-02,5.946867411338012,5.959312880712734,5.870068879091558,5.945349216461182,5.945349216461182,698342400,0.0,0.0
2010-02-03,5.924404829939241,6.077091238835135,5.9016383886275685,6.047646522521973,6.047646522521973,615328000,0.0,0.0
2010-02-04,5.971757702530981,6.0215403885787415,5.815125875775993,5.8296966552734375,5.8296966552734375,757652000,0.0,0.0
2010-02-05,5.847301164072146,5.949597728574612,5.793268676940375,5.933205604553223,5.933205604553223,850306800,0.0,0.0
2010-02-08,5.940189177923618,6.006666741397184,5.888888699911337,5.892531394958496,5.892531394958496,478270800,0.0,0.0
2010-02-09,5.96234756090697,5.995131002823124,5.91165460856586,5.955366134643555,5.955366134643555,632886800,0.0,0.0
2010-02-10,5.946259999629727,5.9678130189939385,5.8967816757666,5.922886848449707,5.922886848449707,370361600,0.0,0.0
2010-02-11,5.915602125481354,6.06343160887625,5.890710778188885,6.0306477546691895,6.0306477546691895,550345600,0.0,0.0
2010-02-12,6.013647911185885,6.120801826153985,5.934421323718699,6.082554340362549,6.082554340362549,655468800,0.0,0.0
2010-02-16,6.12990859063044,6.183030012359232,6.11715956289513,6.174227237701416,6.174227237701416,543737600,0.0,0.0
2010-02-17,6.198206977231956,6.201849672071107,6.097124221866753,6.148425102233887,6.148425102233887,436396800,0.0,0.0
2010-02-18,6.120498616586863,6.189101906130114,6.098946811633644,6.159960746765137,6.159960746765137,422825200,0.0,0.0
2010-02-19,6.127480690716305,6.168156238404931,6.104713845450534,6.121712684631348,6.121712684631348,415469600,0.0,0.0
2010-02-22,6.142050195982492,6.146906716999988,6.046431485838318,6.083767890930176,6.083767890930176,390563600,0.0,0.0
2010-02-23,6.071018800404734,6.11139118929203,5.940795707591965,5.981774806976318,5.981774806976318,575094800,0.0,0.0
2010-02-24,6.017291078060281,6.114731147627569,6.005452318734548,6.091054439544678,6.091054439544678,460566400,0.0,0.0
2010-02-25,5.991489555474554,6.157835251581767,5.976615621892867,6.131730079650879,6.131730079650879,665126000,0.0,0.0
2010-02-26,6.143264018041324,6.227954643948253,6.131729223366894,6.211259365081787,6.211259365081787,507460800,0.0,0.0
2010-03-01,6.245561921044569,6.359393723598849,6.236455587588075,6.3439130783081055,6.3439130783081055,550093600,0.0,0.0
2010-03-02,6.372446550402299,6.399766362368891,6.305968976229057,6.339663505554199,6.339663505554199,566546400,0.0,0.0
2010-03-03,6.342394838375248,6.370624917703471,6.312039853355864,6.3542327880859375,6.3542327880859375,372052800,0.0,0.0
2010-03-04,6.352714345368935,6.402496217527518,6.33298267749808,6.396121501922607,6.396121501922607,366041200,0.0,0.0
2010-03-05,6.524526330249989,6.669016692052982,6.515116032505418,6.646250247955322,6.646250247955322,899620400,0.0,0.0
2010-03-08,6.678423761987666,6.6808518196112034,6.624998793870126,6.650193691253662,6.650193691253662,429889600,0.0,0.0
2010-03-09,6.626821447664976,6.829896834954292,6.61407242016984,6.76979398727417,6.76979398727417,920259200,0.0,0.0
2010-03-10,6.794381729384322,6.844467570551923,6.775257985624435,6.825039863586426,6.825039863586426,596218000,0.0,0.0
2010-03-11,6.796811912020383,6.845075607299805,6.778901990131219,6.845075607299805,6.845075607299805,405700400,0.0,0.0
2010-03-12,6.90183839793303,6.912766483745027,6.852663632916237,6.87846565246582,6.87846565246582,416323600,0.0,0.0
2010-03-15,6.8414320683284995,6.845073952856966,6.685710095204964,6.794685363769531,6.794685363769531,493502800,0.0,0.0
2010-03-16,6.805005292703569,6.829289113848361,6.754312339854834,6.813200950622559,6.813200950622559,446908000,0.0,0.0
2010-03-17,6.826861216591992,6.8739114785839845,6.777382896511639,6.803184509277344,6.803184509277344,450956800,0.0,0.0
2010-03-18,6.802575476228602,6.829895684726326,6.757346974408095,6.819271564483643,6.819271564483643,342109600,0.0,0.0
2010-03-19,6.823522474279264,6.837182175445127,6.715457880784001,6.746420383453369,6.746420383453369,559445600,0.0,0.0
2010-03-22,6.692388986711435,6.860252876855256,6.682675132811836,6.822308540344238,6.822308540344238,456419600,0.0,0.0
